,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
10338,blr,2011,obsict,16.05,11.81,21.19,63.16,4.16,5.68,9.13,1.45,4.82,1.9,9.9,0.35,1.24,0.44,52.33,68.03,1.83,0.26,82.43,6.88,18.04,3.67,0.34,0.25,631.16,0.58,37.42,obsict,0.28,2.81,15.53,8.15,0.62,3.97,2.74,0.58,2.86,0.5,10.05,0.35,1.31,0.46,9.71,23.0,0.72,0.0,0.4,0.17,13.71,0.3,0.03,0.03,237.74,0.02,0.4,0.6879,0.0134,0.0299,0.0247,0.0209
12849,tto,2011,obsict,0.05,12.46,96.16,13.59,10.06,0.04,1.57,0.2,0.21,3.68,28.86,0.63,44.53,1.06,6.98,3.36,1.01,5.76,19.13,20.76,53.94,16.76,25.26,17.18,266.49,0.19,222.69,obsict,0.04,12.61,93.86,2.36,5.73,0.05,0.16,0.01,0.19,1.4,29.1,0.54,45.35,0.92,4.6,1.52,0.15,0.16,0.04,0.77,20.88,1.69,0.84,7.35,42.48,0.02,2.94,0.6482,0.0031,0.0039,0.0211,0.0037
